18050	101	4	13.52
846	543	205	3134.63
152	963	3	5.74
5451	107	3	7.37
103	16814	3	11.32
12229	12	4	9.8
4550	27803	3	59.69
182	185	49	202.89
126	738	4	3.9
377	13147	3	34.62
6529	103	3	4.11
3783	5404	8	128.68
104	1664	8	4.07
1105	12	28	21.82
4	32145	3	39.64
4304	152	4	22.28
160	798	6	19.43
160	2894	5	27.83
314	1792	3	17.84
129	3689	4	16.62
103	3512	9	17.37
19050	12	4	15.75
102	3380	6	5.67
2998	116	6	21.78
413	635	7	42.62
105	7737	4	10.17
4503	142	3	14.56
1081	648	99	1386.27
128	8127	3	16.82
105	7905	3	6.24
102	5657	5	8.47
509	185	20	105.35
1129	21343	3	46.37
5395	14	8	13.26
6414	103	9	30.54
103	2092	15	26.81
190	2537	4	22.06
10282	298	3	30.67
105	3417	7	11.81
545	842	3	16.58
9947	14	3	4.03
12	21869	3	10.73
1606	12	17	10.86
2116	2657	5	59.2
19475	12	3	9.58
241	4644	10	98.98
1863	1369	4	38.41
15358	101	4	11.35
5415	104	21	104.6
123	1436	3	4.03
124	1296	5	10.37
405	299	4	14.03
106	4805	7	18.8
1520	554	3	20.2
4430	14	6	4.85
200	917	27	201.74
107	194	37	12.87
11160	12	3	4.84
108	845	13	18.93
109	961	20	48.86
4	759	16	82.67
2168	14	13	9.65
112	3409	4	10.15
4458	104	4	4.2
589	106	59	140.31
2342	1006	3	26.55
134	12490	4	31.88
105	13458	4	16.35
231	300	8	27.01
101	12716	3	5.11
3715	418	3	24.71
176	524	3	4.74
113	2079	3	4.08
149	3283	3	12.95
143	189	12	8.8
4417	14	11	19.75
116	1677	19	88.42
204	151	48	173.59
1579	103	9	5.11
8969	104	4	10.76
115	7726	3	13.4
103	10240	3	7.31
101	8656	6	12.68
971	123	9	22.5
112	2051	4	6.26
2140	110	4	5.41
6459	12	5	6.24
111	3388	7	24.77
106	2976	7	11.61
3833	116	4	13.61
534	12	43	17.06
6901	546	4	43.82
193	699	7	28.01
2646	107	7	17.19
3159	681	8	86.03
4920	14	7	8.86
669	177	6	19.12
3292	208	6	44.56
345	140	26	94.8
108	7536	5	21.62
106	7814	4	11.46
101	25340	3	11.63
16138	949	6	95.85
108	5430	5	17.45
10474	12	4	8.12
535	1995	3	21.76
15494	112	7	57.66
122	10457	3	17.59
3330	116	3	7.58
119	3849	3	8.81
264	722	3	10.59
116	2384	3	5.65
804	314	3	13.01
12	14019	3	6.61
106	16868	5	28.25
101	15722	3	7.3
6978	12	4	4.22
113	684	13	23.51
204	1819	3	13.8
105	11228	4	14.35
1069	12	39	47.82
115	4907	4	15.46
4967	14	6	6.14
8424	110	4	17.92
936	660	6	44.64
113	2363	4	8.25
269	1684	8	58.56
102	12406	3	8.11
1669	103	21	41.09
2686	14	9	5.36
173	328	5	8.2
117	1889	3	4.37
345	935	3	14.53
1077	106	9	4.07
2813	7822	9	151.32
6989	12	5	7.08
4947	104	4	5.11
1552	386	3	18.26
193	358	3	4.15
109	1491	8	13.06
111	257	17	6.8
140	1992	3	8.83
10412	101	7	20.33
121	9818	6	42.59
1871	104	15	23.7
37034	27047	3	82.26
11636	388	5	62.22
200	116	19	8.12
3861	106	22	100.57
106	3019	8	15.46
57	4133	4	12.41
12	9095	4	6.46
906	843	3	19.57
6784	101	10	24.33
1861	192	3	13.08
101	12924	6	20.28
556	6458	3	30.68
120	130	51	10.53
3268	113	4	10.91
